waterbody,site,recorded_site,date,latitude,longitude,survey_area,sample_id,sample_method,sample_unit_m2,live_oly_count,dead_oly_count,notes
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,1,Random,1.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,2,Random,2.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,3,Random,1.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,4,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,5,Random,2,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,6,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,7,Random,3.25,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,8,Random,1.25,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,9,Random,3.5,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,1,Random,0.0625,37,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,2,Random,0.0625,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,3,Random,0.0625,12,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,4,Random,0.0625,41,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,5,Random,0.0625,35,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,6,Random,0.0625,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,7,Random,0.0625,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,8,Random,0.0625,2,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,9,Random,0.0625,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,10,Random,0.0625,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,11,Random,0.0625,54,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,12,Random,0.0625,6,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,1,Random,3.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,2,Random,3,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,3,Random,3.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,4,Random,4.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,5,Random,4.75,11,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Reference,6,Random,1.75,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,1,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,2,Random,0.25,27,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,3,Random,0.25,5,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,4,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,5,Random,0.25,8,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,6,Random,0.25,31,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,7,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,8,Random,0.25,23,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,9,Random,0.25,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,10,Random,0.25,22,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,11,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,12,Random,0.25,30,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,13,Random,0.25,43,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,14,Random,0.25,17,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,15,Random,0.25,45,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,16,Random,0.25,2,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,17,Random,0.25,27,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,18,Random,0.25,28,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,19,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,20,Random,0.25,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,21,Random,0.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,22,Random,0.25,7,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,23,Random,0.25,5,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,24,Random,0.25,4,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,25,Random,0.25,42,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,26,Random,0.25,1,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,27,Random,0.25,14,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2019-08-30,NA,NA,Project,28,Random,0.25,0,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,3,Random,0.5,13,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,23,Random,1.5,10,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,13,Random,2.25,4,NA,NA
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,30,Random,1,2,NA,flooded
Dyes Inlet,Chico Bay,Chico Bay,2021-04-29,NA,NA,Project,22,Random,0.5,2,NA,flooded
