year,population_estimate,enhancement_action,notes
2001,0,,MK assuming there were practically no olys before we put them there
2002,"50,000",Seeded cultch,reflecting surviving number of seeded oysters
2003,"45,000",Seeded cultch,reflecting surviving number of seeded oysters
2004,"40,000",Seeded cultch,reflecting surviving number of seeded oysters
2005,"90,000",,
2006,"80,000",First bulk shell added. More seeded cultch.,
2007,"100,000",,
2008,"90,000",,
2009,"80,000",,
2010,"140,000",,
2011,"140,000",,
2012,"160,000",,
2013,"240,000",2.5 acres bulk shell added,
2014,"850,000",,
2015,"2,600,000",,
2016,"3,078,000",Seeded cultch to west side of bay,
2017,"3,525,000",,
2018,"2,912,000",1 additional acre of bulk shell. 56 bags seeded cultch,First 'wide area' survey conducted
2023,"5,544,124",,
